x: 434, y: 208, width: 3, height: 3
x: 419, y: 208, width: 6, height: 11
x: 403, y: 208, width: 9, height: 11
x: 397, y: 208, width: 3, height: 3
x: 368, y: 208, width: 4, height: 5
x: 333, y: 208, width: 4, height: 5
x: 310, y: 208, width: 4, height: 11
x: 264, y: 208, width: 6, height: 5
x: 235, y: 208, width: 5, height: 11
x: 199, y: 208, width: 4, height: 3
x: 172, y: 208, width: 7, height: 11
x: 128, y: 208, width: 8, height: 11
x: 119, y: 208, width: 3, height: 3
x: 702, y: 207, width: 4, height: 12
x: 671, y: 207, width: 4, height: 12
x: 560, y: 207, width: 4, height: 12
x: 510, y: 207, width: 4, height: 12
x: 275, y: 207, width: 4, height: 4
x: 246, y: 207, width: 4, height: 12
x: 112, y: 207, width: 4, height: 11
x: 708, y: 204, width: 3, height: 8
x: 570, y: 204, width: 4, height: 13
x: 544, y: 204, width: 4, height: 15
x: 500, y: 204, width: 3, height: 14
x: 469, y: 204, width: 4, height: 7
x: 428, y: 204, width: 4, height: 4
x: 379, y: 204, width: 4, height: 15
x: 355, y: 204, width: 4, height: 8
x: 345, y: 204, width: 4, height: 15
x: 340, y: 204, width: 3, height: 15
x: 320, y: 204, width: 4, height: 8
x: 252, y: 204, width: 3, height: 8
x: 206, y: 204, width: 3, height: 5
x: 182, y: 204, width: 3, height: 15
x: 163, y: 204, width: 3, height: 8
x: 152, y: 204, width: 4, height: 8
x: 118, y: 204, width: 4, height: 3
x: 682, y: 203, width: 3, height: 3
x: 657, y: 203, width: 3, height: 3
x: 555, y: 203, width: 3, height: 3
x: 485, y: 203, width: 3, height: 3
x: 459, y: 203, width: 3, height: 3
x: 529, y: 197, width: 3, height: 3
x: 300, y: 197, width: 4, height: 3
x: 449, y: 196, width: 5, height: 4
x: 275, y: 196, width: 4, height: 4
x: 605, y: 193, width: 4, height: 3
x: 495, y: 193, width: 3, height: 3
x: 427, y: 193, width: 3, height: 3
x: 392, y: 193, width: 3, height: 3
x: 372, y: 193, width: 3, height: 3
x: 337, y: 193, width: 4, height: 3
x: 309, y: 193, width: 4, height: 4
x: 280, y: 193, width: 3, height: 3
x: 216, y: 193, width: 4, height: 3
x: 736, y: 192, width: 3, height: 3
x: 638, y: 192, width: 3, height: 4
x: 627, y: 192, width: 3, height: 3
x: 612, y: 192, width: 3, height: 3
x: 581, y: 192, width: 5, height: 4
x: 545, y: 192, width: 3, height: 3
x: 504, y: 192, width: 3, height: 3
x: 401, y: 192, width: 3, height: 3
x: 365, y: 192, width: 3, height: 3
x: 354, y: 192, width: 3, height: 3
x: 330, y: 192, width: 3, height: 3
x: 260, y: 192, width: 3, height: 4
x: 233, y: 192, width: 3, height: 4
x: 207, y: 192, width: 3, height: 3
x: 165, y: 192, width: 3, height: 4
x: 160, y: 192, width: 3, height: 3
x: 122, y: 192, width: 3, height: 3
x: 745, y: 191, width: 4, height: 5
x: 694, y: 191, width: 3, height: 4
x: 681, y: 191, width: 4, height: 5
x: 550, y: 191, width: 3, height: 4
x: 509, y: 191, width: 6, height: 5
x: 349, y: 191, width: 3, height: 5
x: 186, y: 191, width: 3, height: 4
x: 155, y: 191, width: 4, height: 5
x: 112, y: 191, width: 4, height: 5
x: 710, y: 190, width: 3, height: 3
x: 452, y: 190, width: 4, height: 5
x: 303, y: 190, width: 4, height: 4
x: 717, y: 189, width: 6, height: 3
x: 593, y: 189, width: 7, height: 7
x: 459, y: 189, width: 7, height: 7
x: 369, y: 189, width: 3, height: 3
x: 131, y: 189, width: 4, height: 6
x: 483, y: 188, width: 3, height: 6
x: 227, y: 188, width: 5, height: 8
x: 427, y: 187, width: 7, height: 7
x: 392, y: 187, width: 7, height: 7
x: 296, y: 187, width: 3, height: 3
x: 271, y: 187, width: 3, height: 8
x: 731, y: 186, width: 3, height: 10
x: 703, y: 186, width: 3, height: 4
x: 685, y: 186, width: 3, height: 5
x: 666, y: 186, width: 3, height: 9
x: 661, y: 186, width: 4, height: 10
x: 655, y: 186, width: 4, height: 8
x: 550, y: 186, width: 3, height: 4
x: 544, y: 186, width: 4, height: 3
x: 535, y: 186, width: 3, height: 3
x: 530, y: 186, width: 6, height: 10
x: 504, y: 186, width: 3, height: 4
x: 499, y: 186, width: 3, height: 9
x: 450, y: 186, width: 3, height: 3
x: 406, y: 186, width: 3, height: 3
x: 365, y: 186, width: 3, height: 3
x: 354, y: 186, width: 3, height: 3
x: 348, y: 186, width: 4, height: 4
x: 301, y: 186, width: 3, height: 3
x: 266, y: 186, width: 3, height: 3
x: 260, y: 186, width: 3, height: 3
x: 245, y: 186, width: 3, height: 10
x: 238, y: 186, width: 3, height: 10
x: 171, y: 186, width: 7, height: 9
x: 122, y: 186, width: 3, height: 3
x: 755, y: 185, width: 6, height: 10
x: 747, y: 185, width: 6, height: 10
x: 735, y: 185, width: 4, height: 5
x: 632, y: 185, width: 6, height: 11
x: 625, y: 185, width: 5, height: 6
x: 603, y: 185, width: 7, height: 5
x: 596, y: 185, width: 4, height: 3
x: 583, y: 185, width: 5, height: 5
x: 571, y: 185, width: 3, height: 3
x: 554, y: 185, width: 4, height: 11
x: 512, y: 185, width: 4, height: 4
x: 488, y: 185, width: 4, height: 15
x: 462, y: 185, width: 5, height: 4
x: 443, y: 185, width: 5, height: 10
x: 378, y: 185, width: 8, height: 11
x: 372, y: 185, width: 4, height: 3
x: 358, y: 185, width: 3, height: 3
x: 337, y: 185, width: 6, height: 5
x: 307, y: 185, width: 3, height: 3
x: 280, y: 185, width: 4, height: 5
x: 250, y: 185, width: 6, height: 10
x: 217, y: 185, width: 5, height: 5
x: 207, y: 185, width: 6, height: 4
x: 198, y: 185, width: 6, height: 11
x: 189, y: 185, width: 6, height: 9
x: 183, y: 185, width: 4, height: 5
x: 165, y: 185, width: 5, height: 4
x: 158, y: 185, width: 4, height: 5
x: 146, y: 185, width: 7, height: 11
x: 126, y: 185, width: 4, height: 11
x: 114, y: 185, width: 6, height: 10
x: 671, y: 184, width: 4, height: 12
x: 564, y: 184, width: 4, height: 11
x: 518, y: 184, width: 4, height: 12
x: 435, y: 184, width: 4, height: 4
x: 400, y: 184, width: 4, height: 4
x: 319, y: 184, width: 4, height: 12
x: 655, y: 182, width: 3, height: 3
x: 648, y: 181, width: 4, height: 15
x: 618, y: 181, width: 3, height: 15
x: 612, y: 181, width: 3, height: 4
x: 570, y: 181, width: 3, height: 3
x: 524, y: 181, width: 3, height: 15
x: 468, y: 181, width: 9, height: 15
x: 417, y: 181, width: 4, height: 15
x: 412, y: 181, width: 3, height: 15
x: 325, y: 181, width: 3, height: 15
x: 290, y: 181, width: 4, height: 13
x: 233, y: 181, width: 3, height: 9
x: 137, y: 181, width: 3, height: 15
x: 545, y: 180, width: 3, height: 3
x: 504, y: 180, width: 3, height: 3
x: 365, y: 180, width: 3, height: 3
x: 245, y: 180, width: 3, height: 3
x: 420, y: 171, width: 3, height: 4
x: 651, y: 170, width: 4, height: 3
x: 617, y: 170, width: 4, height: 3
x: 567, y: 170, width: 4, height: 3
x: 468, y: 170, width: 4, height: 3
x: 352, y: 170, width: 4, height: 3
x: 295, y: 170, width: 3, height: 3
x: 125, y: 170, width: 4, height: 3
x: 710, y: 169, width: 3, height: 3
x: 684, y: 169, width: 4, height: 4
x: 667, y: 169, width: 3, height: 3
x: 642, y: 169, width: 3, height: 3
x: 637, y: 169, width: 3, height: 3
x: 552, y: 169, width: 3, height: 4
x: 531, y: 169, width: 4, height: 4
x: 456, y: 169, width: 3, height: 3
x: 451, y: 169, width: 3, height: 3
x: 428, y: 169, width: 4, height: 4
x: 360, y: 169, width: 4, height: 4
x: 330, y: 169, width: 3, height: 3
x: 324, y: 169, width: 3, height: 4
x: 266, y: 169, width: 3, height: 3
x: 252, y: 169, width: 3, height: 4
x: 184, y: 169, width: 3, height: 4
x: 721, y: 168, width: 3, height: 4
x: 415, y: 168, width: 3, height: 4
x: 261, y: 168, width: 4, height: 5
x: 241, y: 168, width: 3, height: 4
x: 232, y: 168, width: 3, height: 4
x: 139, y: 168, width: 3, height: 3
x: 113, y: 168, width: 3, height: 4
x: 541, y: 166, width: 3, height: 3
x: 363, y: 165, width: 3, height: 3
x: 336, y: 165, width: 6, height: 6
x: 720, y: 164, width: 3, height: 3
x: 672, y: 164, width: 7, height: 8
x: 590, y: 164, width: 3, height: 9
x: 557, y: 164, width: 3, height: 3
x: 547, y: 164, width: 3, height: 3
x: 537, y: 164, width: 3, height: 9
x: 414, y: 164, width: 3, height: 3
x: 295, y: 164, width: 7, height: 7
x: 276, y: 164, width: 3, height: 8
x: 221, y: 164, width: 3, height: 9
x: 175, y: 164, width: 3, height: 9
x: 725, y: 163, width: 3, height: 4
x: 715, y: 163, width: 3, height: 9
x: 704, y: 163, width: 3, height: 10
x: 629, y: 163, width: 6, height: 9
x: 610, y: 163, width: 3, height: 3
x: 579, y: 163, width: 3, height: 10
x: 552, y: 163, width: 3, height: 3
x: 531, y: 163, width: 4, height: 3
x: 497, y: 163, width: 9, height: 9
