Character,Left,Top,Right,Bottom
s,655,95,662,104
e,662,95,670,104
 ,670,104,675,104
f,675,91,684,104
r,684,95,691,104
o,691,95,701,104
m,701,95,716,104
 ,716,104,721,104
t,721,92,727,104
h,727,91,737,104
e,737,95,745,104
f,112,114,121,127
l,121,114,126,127
o,126,118,136,127
o,136,118,146,127
r,146,118,153,127
 ,153,127,158,127
o,158,118,168,127
f,168,114,177,127
 ,177,127,182,127
t,182,115,188,127
h,188,114,198,127
e,198,118,206,127
 ,206,127,211,127
s,211,118,218,127
e,218,118,226,127
a,226,118,235,127
 ,235,127,240,127
o,240,118,250,127
r,250,118,257,127
 ,257,127,262,127
w,262,118,276,127
h,276,114,286,127
e,286,118,294,127
n,294,118,304,127
 ,304,127,309,127
t,309,115,315,127
h,315,114,325,127
e,325,118,333,127
 ,333,127,338,127
w,338,118,352,127
a,352,118,361,127
t,361,115,367,127
e,367,118,375,127
r,375,118,382,127
 ,382,127,387,127
l,387,114,392,127
e,392,118,400,127
v,400,118,410,127
e,410,118,418,127
l,418,114,423,127
 ,423,127,428,127
r,428,118,435,127
i,435,114,440,127
s,440,118,447,127
e,447,118,455,127
s,455,118,462,127
 ,462,127,467,127
o,467,118,477,127
r,477,118,484,127
 ,484,127,489,127
f,489,114,498,127
a,498,118,507,127
l,507,114,512,127
l,512,114,517,127
s,517,118,524,127
.,524,124,529,127
 ,529,127,534,127
A,534,115,548,127
 ,548,127,553,127
n,553,118,563,127
u,563,118,573,127
m,573,118,588,127
b,587,114,598,127
e,599,118,607,127
r,607,118,614,127
 ,614,127,619,127
o,619,118,629,127
f,629,114,638,127
 ,638,127,643,127
i,643,114,648,127
s,648,118,655,127
l,655,114,660,127
a,660,118,669,127
n,669,118,679,127
d,679,114,689,127
s,689,118,696,127
 ,696,127,701,127
c,701,118,709,127
a,709,118,718,127
m,718,118,733,127
e,733,118,741,127
i,112,137,117,150
n,117,141,127,150
t,127,138,133,150
o,133,141,143,150
 ,143,150,148,150
e,148,141,156,150
x,156,141,166,150
i,166,137,171,150
s,171,141,178,150
t,178,138,184,150
e,184,141,192,150
n,192,141,202,150
c,202,141,210,150
e,210,141,218,150
 ,218,150,223,150
a,223,141,232,150
t,232,138,238,150
 ,238,150,243,150
t,243,138,249,150
h,249,137,259,150
e,259,141,267,150
 ,267,150,272,150
e,272,141,280,150
n,280,141,290,150
d,290,137,300,150
 ,300,150,305,150
o,305,141,315,150
f,315,137,324,150
 ,324,150,329,150
t,329,138,335,150
h,335,137,345,150
e,345,141,353,150
 ,353,150,358,150
l,358,137,363,150
a,363,141,372,150
s,372,141,379,150
t,379,138,385,150
 ,385,150,390,150
i,390,137,395,150
c,395,141,403,150
e,403,141,411,150
 ,411,150,416,150
a,416,141,425,150
g,425,141,435,154
e,435,141,443,150
.,443,147,448,150
 ,448,150,453,150
A,453,138,467,150
s,467,141,474,150
 ,474,150,479,150
t,479,138,485,150
h,485,137,495,150
e,495,141,503,150
 ,503,150,508,150
i,508,137,513,150
c,513,141,521,150
e,521,141,529,150
 ,529,150,534,150
m,534,141,549,150
e,549,141,557,150
l,557,137,562,150
t,562,138,568,150
e,568,141,576,150
d,576,137,586,150
",",586,148,591,153
 ,591,150,596,150
t,596,138,602,150
h,602,137,612,150
e,612,141,620,150
 ,620,150,625,150
w,625,141,639,150
a,639,141,648,150
t,648,138,654,150
e,654,141,662,150
r,662,141,669,150
 ,669,150,674,150
r,674,141,681,150
a,681,141,690,150
n,690,141,700,150
 ,700,150,705,150
i,705,137,710,150
n,710,141,720,150
t,720,138,726,150
o,726,141,736,150
t,112,161,118,173
h,118,160,128,173
e,128,164,136,173
 ,136,173,141,173
s,141,164,148,173
e,148,164,156,173
a,156,164,165,173
",",165,171,170,176
 ,170,173,175,173
w,175,164,189,173
h,189,160,199,173
o,199,164,209,173
s,209,164,216,173
e,216,164,224,173
 ,224,173,229,173
l,229,160,234,173
e,234,164,242,173
v,242,164,252,173
e,252,164,260,173
l,260,160,265,173
 ,265,173,270,173
r,270,164,277,173
o,277,164,287,173
s,287,164,294,173
e,294,164,302,173
 ,302,173,307,173
s,307,164,314,173
o,314,164,324,173
 ,324,173,329,173
m,329,164,344,173
u,344,164,354,173
c,354,164,362,173
h,362,160,372,173
 ,372,173,377,173
a,377,164,386,173
s,386,164,393,173
 ,393,173,398,173
a,398,164,407,173
 ,407,173,412,173
r,412,164,419,173
e,419,164,427,173
s,427,164,434,173
u,434,164,444,173
l,444,160,449,173
t,449,161,455,173
 ,455,173,460,173
o,460,164,470,173
f,470,160,479,173
 ,479,173,484,173
t,484,161,490,173
h,490,160,500,173
i,500,160,505,173
