Character,Left,Top,Right,Bottom
 ,509,116,516,116
e,516,106,527,117
x,527,106,539,116
i,539,103,544,117
s,544,105,554,116
t,554,104,563,116
e,563,106,574,117
n,574,106,585,116
c,585,105,595,116
e,595,106,606,117
 ,606,116,613,116
w,613,106,628,116
h,628,102,639,116
e,639,106,650,117
n,650,106,661,116
 ,661,116,668,116
v,668,106,680,116
o,680,105,691,116
l,691,103,697,116
c,697,105,707,116
a,707,106,718,117
n,718,106,729,116
o,729,105,740,116
e,740,106,751,117
s,751,105,761,116
 ,761,116,768,116
r,768,106,776,116
i,776,103,781,117
s,781,105,791,116
e,791,106,802,117
 ,802,116,809,116
f,809,102,817,116
r,817,106,825,116
o,825,105,836,116
m,836,106,853,116
 ,853,116,860,116
t,860,104,869,116
h,869,102,880,116
e,880,106,891,117
f,112,133,120,147
l,120,134,126,147
o,126,136,137,147
o,137,136,148,147
r,148,137,156,147
 ,156,147,163,147
o,163,136,174,147
f,174,133,182,147
 ,182,147,189,147
t,189,135,198,147
h,198,133,209,147
e,209,137,220,148
 ,220,147,227,147
s,227,136,237,147
e,237,137,248,148
a,248,137,259,148
 ,259,147,266,147
o,266,136,277,147
r,277,137,285,147
 ,285,147,292,147
w,292,137,307,147
h,307,133,318,147
e,318,137,329,148
n,329,137,340,147
 ,340,147,347,147
t,347,135,356,147
h,356,133,367,147
e,367,137,378,148
 ,378,147,385,147
w,385,137,400,147
a,400,137,411,148
t,411,135,420,147
e,420,137,431,148
r,431,137,439,147
 ,439,147,446,147
l,446,134,452,147
e,452,137,463,148
v,463,137,475,147
e,475,137,486,148
l,486,134,492,147
 ,492,147,499,147
r,499,137,507,147
i,507,134,512,148
s,512,136,522,147
e,522,137,533,148
s,533,136,543,147
 ,543,147,550,147
o,550,136,561,147
r,561,137,569,147
 ,569,147,576,147
f,576,133,584,147
a,584,137,595,148
l,595,134,601,147
l,601,134,607,147
s,607,136,617,147
.,617,144,622,147
 ,622,147,629,147
A,629,134,643,147
 ,643,147,650,147
n,650,137,661,147
u,661,137,672,147
m,672,137,689,147
b,689,133,700,148
e,700,137,711,148
r,711,137,719,147
 ,719,147,726,147
o,726,136,737,147
f,737,133,745,147
 ,745,147,752,147
i,752,134,757,148
s,757,136,767,147
l,767,134,773,147
a,773,137,784,148
n,784,137,795,147
d,795,133,806,147
s,806,136,816,147
 ,816,147,823,147
c,823,136,833,147
a,833,137,844,148
m,844,137,861,147
e,861,137,872,148
i,112,165,117,179
n,117,168,128,178
t,128,166,137,178
o,137,167,148,178
 ,148,178,155,178
e,155,168,166,179
x,166,168,178,178
i,178,165,183,179
s,183,167,193,178
t,193,166,202,178
e,202,168,213,179
n,213,168,224,178
c,224,167,234,178
e,234,168,245,179
 ,245,178,252,178
a,252,168,263,179
t,263,166,272,178
 ,272,178,279,178
t,279,166,288,178
h,288,164,299,178
e,299,168,310,179
 ,310,178,317,178
e,317,168,328,179
n,328,168,339,178
d,339,164,350,178
 ,350,178,357,178
o,357,167,368,178
f,368,164,376,178
 ,376,178,383,178
t,383,166,392,178
h,392,164,403,178
e,403,168,414,179
 ,414,178,421,178
l,421,165,427,178
a,427,168,438,179
s,438,167,448,178
t,448,166,457,178
 ,457,178,464,178
i,464,165,469,179
c,469,167,479,178
e,479,168,490,179
 ,490,178,497,178
a,497,168,508,179
g,508,168,519,183
e,519,168,530,179
.,530,175,535,178
 ,535,178,542,178
A,542,165,556,178
s,556,167,566,178
 ,566,178,573,178
t,573,166,582,178
h,582,164,593,178
e,593,168,604,179
 ,604,178,611,178
i,611,165,616,179
c,616,167,626,178
e,626,168,637,179
 ,637,178,644,178
m,644,168,661,178
e,661,168,672,179
l,672,165,678,178
t,678,166,687,178
e,687,168,698,179
d,698,164,709,178
",",709,176,715,181
 ,715,178,722,178
t,722,166,731,178
h,731,164,742,178
e,742,168,753,179
 ,753,178,760,178
w,760,168,775,178
a,775,168,786,179
t,786,166,795,178
e,795,168,806,179
r,806,168,814,178
 ,814,178,821,178
r,821,168,829,178
a,829,168,840,179
n,840,168,851,178
 ,851,178,858,178
i,858,165,863,179
n,863,168,874,178
t,874,166,883,178
o,883,167,894,178
t,112,197,121,209
h,121,195,132,209
e,132,199,143,210
 ,143,209,150,209
s,150,198,160,209
e,160,199,171,210
a,171,199,182,210
",",182,207,188,212
 ,188,209,195,209
w,195,199,210,209
h,210,195,221,209
o,221,198,232,209
s,232,198,242,209
e,242,199,253,210
 ,253,209,260,209
l,260,196,266,209
e,266,199,277,210
v,277,199,289,209
e,289,199,300,210
l,300,196,306,209
 ,306,209,313,209
r,313,199,321,209
o,321,198,332,209
s,332,198,342,209
e,342,199,353,210
 ,353,209,360,209
s,360,198,370,209
o,370,198,381,209
 ,381,209,388,209
m,388,199,405,209
u,405,199,416,209
c,416,198,426,209
h,426,195,437,209
 ,437,209,444,209
a,444,199,455,210
s,455,198,465,209
 ,465,209,472,209
a,472,199,483,210
 ,483,209,490,209
r,490,199,498,209
e,498,199,509,210
s,509,198,519,209
u,519,199,530,209
l,530,196,536,209
t,536,197,545,209
 ,545,209,552,209
o,552,198,563,209
f,563,195,571,209
 ,571,209,578,209
