Character,Left,Top,Right,Bottom
t,656,92,662,104
h,662,91,672,104
 ,672,104,677,104
t,677,92,683,104
h,683,91,693,104
o,693,95,703,104
u,703,95,713,104
s,713,95,720,104
a,720,95,729,104
n,729,95,739,104
d,739,91,749,104
s,749,95,756,104
o,112,118,122,127
f,122,114,131,127
 ,131,127,136,127
s,136,118,143,127
i,143,114,148,127
n,148,118,158,127
g,158,118,168,131
l,168,114,173,127
e,173,118,181,127
 ,181,127,186,127
h,186,114,196,127
a,196,118,205,127
i,205,114,210,127
r,210,118,217,127
s,217,118,224,127
 ,224,127,229,127
a,229,118,238,127
n,238,118,248,127
d,248,114,258,127
 ,258,127,263,127
a,263,118,272,127
 ,272,127,277,127
t,277,115,283,127
h,283,114,293,127
i,293,114,298,127
c,298,118,306,127
k,306,114,316,127
 ,316,127,321,127
l,321,114,326,127
a,326,118,335,127
y,335,118,345,131
e,345,118,353,127
r,353,118,360,127
 ,360,127,365,127
o,365,118,375,127
f,375,114,384,127
 ,384,127,389,127
f,389,114,398,127
a,398,118,407,127
t,407,115,413,127
.,413,124,418,127
 ,418,127,423,127
W,423,115,441,127
i,441,114,446,127
t,446,115,452,127
h,452,114,462,127
 ,462,127,467,127
i,467,114,472,127
t,472,115,478,127
s,478,118,485,127
 ,485,127,490,127
b,489,114,500,127
i,501,114,506,127
g,506,118,516,131
 ,516,127,521,127
l,521,114,526,127
u,526,118,536,127
n,536,118,546,127
g,546,118,556,131
s,556,118,563,127
 ,563,127,568,127
i,568,114,573,127
t,573,115,579,127
 ,579,127,584,127
c,584,118,592,127
a,592,118,601,127
n,601,118,611,127
 ,611,127,616,127
e,616,118,624,127
a,624,118,633,127
s,633,118,640,127
i,640,114,645,127
l,645,114,650,127
y,650,118,660,131
 ,660,127,665,127
s,665,118,672,127
t,672,115,678,127
a,678,118,687,127
y,687,118,697,131
 ,697,127,702,127
u,702,118,712,127
n,712,118,722,127
d,722,114,732,127
e,732,118,740,127
r,740,118,747,127
w,112,141,126,150
a,126,141,135,150
t,135,138,141,150
e,141,141,149,150
r,149,141,156,150
 ,156,150,161,150
f,161,137,170,150
o,170,141,180,150
r,180,141,187,150
 ,187,150,192,150
m,192,141,207,150
o,207,141,217,150
r,217,141,224,150
e,224,141,232,150
 ,232,150,237,150
t,237,138,243,150
h,243,137,253,150
a,253,141,262,150
n,262,141,272,150
 ,272,150,277,150
t,277,138,283,150
w,283,141,297,150
e,297,141,305,150
n,305,141,315,150
t,315,138,321,150
y,321,141,331,154
 ,331,150,336,150
m,336,141,351,150
i,351,137,356,150
n,356,141,366,150
u,366,141,376,150
t,376,138,382,150
e,382,141,390,150
s,390,141,397,150
.,397,147,402,150
 ,402,150,407,150
T,407,138,419,150
h,419,137,429,150
e,429,141,437,150
 ,437,150,442,150
b,441,137,452,150
e,453,141,461,150
a,461,141,470,150
v,470,141,480,150
e,480,141,488,150
r,488,141,495,150
 ,495,150,500,150
i,500,137,505,150
s,505,141,512,150
 ,512,150,517,150
n,517,141,527,150
o,527,141,537,150
t,537,138,543,150
 ,543,150,548,150
o,548,141,558,150
n,558,141,568,150
l,568,137,573,150
y,573,141,583,154
 ,583,150,588,150
s,588,141,595,150
k,595,137,605,150
i,605,137,610,150
l,610,137,615,150
l,615,137,620,150
f,620,137,629,150
u,629,141,639,150
l,639,137,644,150
 ,644,150,649,150
i,649,137,654,150
n,654,141,664,150
 ,664,150,669,150
f,669,137,678,150
e,678,141,686,150
l,686,137,691,150
l,691,137,696,150
i,696,137,701,150
n,701,141,711,150
g,711,141,721,154
t,112,161,118,173
r,118,164,125,173
e,125,164,133,173
e,133,164,141,173
s,141,164,148,173
",",148,171,153,176
 ,153,173,158,173
b,157,160,168,173
u,169,164,179,173
t,179,161,185,173
 ,185,173,190,173
a,190,164,199,173
l,199,160,204,173
s,204,164,211,173
o,211,164,221,173
 ,221,173,226,173
a,226,164,235,173
n,235,164,245,173
 ,245,173,250,173
e,250,164,258,173
x,258,164,268,173
p,267,164,278,177
e,279,164,287,173
r,287,164,294,173
i,294,160,299,173
e,299,164,307,173
n,307,164,317,173
c,317,164,325,173
e,325,164,333,173
d,333,160,343,173
 ,343,173,348,173
c,348,164,356,173
r,356,164,363,173
a,363,164,372,173
f,372,160,381,173
t,381,161,387,173
s,387,164,394,173
m,394,164,409,173
a,409,164,418,173
n,418,164,428,173
 ,428,173,433,173
i,433,160,438,173
n,438,164,448,173
 ,448,173,453,173
b,452,160,463,173
u,464,164,474,173
i,474,160,479,173
l,479,160,484,173
d,484,160,494,173
i,494,160,499,173
n,499,164,509,173
g,509,164,519,177
 ,519,173,524,173
d,524,160,534,173
